Author,Citation Count
David Ifeoluwa Adelani,35
Shamsuddeen Hassan Muhammad,20
Chris C. Emezue,19
Jesujoba Oluwadara Alabi,18
A. Tonja,15
Idris Abdulmumin,15
Sebastian Ruder,15
D. Klakow,12
Seid Muhie Yimam,12
Bonaventure F. P. Dossou,11
T. Gwadabe,11
Ivan Vulic,11
Israel Abebe Azime,10
Tadesse Destaw Belay,10
A. Ayele,10
Constantine Lignos,10
Alham Fikri Aji,10
Tunde Ajayi,9
Anuoluwapo Aremu,9
Oreen Yousuf,9
Chester Palen-Michel,9
Samuel Cahyawijaya,9
Genta Indra Winata,9
Orevaoghene Ahia,9
Stella Biderman,9
Yacine Jernite,9
Mofetoluwa Adeyemi,9
Moges Ahmed Mehamed,8
Odunayo Ogundepo,8
Nisansa de Silva,8
Michael Beukman,8
Happy Buzaaba,8
A. Owodunni,7
Iyanuoluwa Shode,7
C. Chukwuneke,7
AbdelRahim Elmadany,7
M. Abdul-Mageed,7
I. Ahmad,7
Pascale Fung,7
Luke Zettlemoyer,7
Pedro Ortiz Suarez,7
Margaret Mitchell,7
Colin Leong,7
Benjamin Ayoade Ajibade,7
Tosin P. Adewumi,7
Kelechi Ogueji,7
A. Korhonen,7
M. Yigezu,6
Akintunde Oladipo,6
Blessing K. Sibanda,6
Jonathan Mukiibi,6
Jesse Dodge,6
S. Longpre,6
Quentin Lhoest,6
Gérard Dupont,6
Maraim Masoud,6
Derguene Mbaye,6
Ebrahim Chekol Jibril,5
Chinedu E. Mbonu,5
Ife Adebara,5
Alcides Alcoba Inciarte,5
Naman Goyal,5
Isaac Caswell,5
Antonios Anastasopoulos,5
Holy Lovenia,5
Fajri Koto,5
David Moeljadi,5
Terra Blevins,5
Surangika Ranathunga,5
Xavier García,5
Christopher Akiki,5
Angelina McMillan-Major,5
Aitor Soroa Etxabe,5
Jimmy J. Lin,5
A. Luccioni,5
Ahmed Baruwa,5
Salomey Osei,5
Graham Neubig,5
Andre Niyongabo Rubungo,5
Abeba Birhane,5
Tolúlopé Ògúnrèmí,5
Ignatius M Ezeani,5
Heather Lent,5
Michael Melese Woldeyohannis,4
Olga Kolesnikova,4
Philipp Slusallek,4
Shengwu Xiong,4
Davis David,4
Olanrewaju Samuel,4
Jessica Ojo,4
Pontus Stenetorp,4
Hailemariam Mehari Yohannes,4
Toshiyuki Amagasa,4
Ona de Gibert,4
Alexandra Birch,4
Jian Zhu,4
FAHIM FAISAL,4
Mikel Artetxe,4
Hila Gonen,4
Adam Roberts,4
Orhan Firat,4
J. Clark,4
Sebastian Gehrmann,4
Patrick von Platen,4
Douwe Kiela,4
Hugo Laurenccon,4
Albert Villanova del Moral,4
Teven Le Scao,4
Huu Nguyen,4
Jorg Frohberg,4
Mario vSavsko,4
Anna Rogers,4
F. Toni,4
Somaieh Nikpoor,4
Paulo Villegas,4
Daniel Alexander van Strien,4
Zaid Alyafeai,4
Khalid Almubarak,4
Kyle Lo,4
Manan Dey,4
Aaron Gokaslan,4
Dragomir R. Radev,4
Akari Asai,4
E. Ponti,4
Samson Tan,4
Nishant Subramani,4
Vihanga Jayawickrama,4
Gihan Weeraprameshwara,4
Yudhanjaya Wijeratne,4
Julia Kreutzer,4
Peter Nabende,4
Ernie Chang,4
Gilles Hacheme,4
Perez Ogayo,4
F. Kabore,4
Godson Kalipe,4
A. Tapo,4
V. M. Koagne,4
Edwin Munkoh-Buabeng,4
Andiswa Bukula,4
P. Talukdar,4
M. Choudhury,4
Fabian David Schmidt,4
Aremu Anuoluwapo,4
Amina Mardiyyah Rufai,4
Alan Ansell,4
V. Marivate,4
N. Ousidhoum,4
Saif M. Mohammad,4
Meriem Beloucif,4
Anders Søgaard,4
Miryam de Lhoneux,4
Goran Glavas,4
Christine Mwase,3
Tatiana Moteu Ngoli,3
Oluwabusayo Olufunke Awoyomi,3
T. Adelani,3
Abdul-Hakeem Omotayo,3
Clemencia Siro,3
Marius Mosbach,3
C. Emezue,3
Myle Ott,3
Jingfei Du,3
Kenneth Heafield,3
Ksenia Kharitonova,3
Eneko Agirre,3
Niklas Muennighoff,3
Sara Hooker,3
Bryan Wilie,3
A. Purwarianti,3
E. Lee,3
Julien Launay,3
Jonas Pfeiffer,3
Jungo Kasai,3
Yulia Tsvetkov,3
Melvin Johnson,3
J. Wieting,3
El Moatez Billah Nagoudi,3
Noah Constant,3
Hailey Schoelkopf,3
Lintang Sutawika,3
Oskar van der Wal,3
Sanchit Gandhi,3
Lewis Tunstall,3
Julien Chaumond,3
Omar Sanseviero,3
Lucile Saulnier,3
Thomas Wang,3
Leandro von Werra,3
Chenghao Mou,3
E. G. Ponferrada,3
Loubna Ben Allal,3
Giada Pistilli,3
Olivier Nguyen,3
Pierre Colombo,3
Javier de la Rosa,3
Tristan Thrush,3
Sebastian Nagel,3
Leon Weber,3
M. Muñoz,3
Minh Chien Vu,3
Itziar Gonzalez-Dios,3
Shamik Bose,3
Long Phan,3
H. Tran,3
S. Pai,3
Jenny Chim,3
Violette Lepercq,3
Sasha Luccioni,3
Hannah Rose Kirk,3
Alexander Gutkin,3
Brian Roark,3
Rishi Bommasani,3
Rodrigo Agerri,3
Marjan Ghazvininejad,3
Kalika Bali,3
Eunsol Choi,3
Xinyan Velocity Yu,3
Angela Fan,3
Benoît Sagot,3
Colin Raffel,3
Isaac Johnson,3
Zeerak Talat,3
Marine Carpuat,3
Thomas Wolf,3
Sahib Singh,3
Leon Derczynski,3
Manuel A. Fokam,3
Xiaoyu Shen,3
Machel Reid,3
Dana Ruiter,3
Millicent Ochieng,3
Valencia Wagner,3
Ayodele Awokoya,3
Dennis Ulmer,3
Barbara Plank,3
Ade Romadhony,3
Rahmad Mahendra,3
Timothy Baldwin,3
Nolan Holley,3
June-Woo Kim,3
Bidisha Samanta,3
Dan Jurafsky,3
Bukola Peters,3
Oyerinde Samuel,3
Tajudeen Gwadabe,3
Paul Owoicho,3
Phylis Ngigi,3
Ruqayya Nasir,3
F. Liwicki,3
M. Liwicki,3
Cheikh M. Bamba Dione,3
Rooweither Mabuya,3
Anna Feldman,3
Clara Rivera,3
Steven Arthur,3
Bernard Opoku,3
P. Brazdil,3
Bello Shehu Bello,3
Emanuele Bugliarello,3
Marek Masiak,2
Doreen Nixdorf,2
Sana Al-Azzawi,2
Lolwethu Ndolela,2
B. Odhiambo,2
Nnaemeka C. Obiefuna,2
S. Abdullahi,2
Mahlet Taye Bame,2
Habiba Abdulganiy Kailani,2
Adetola Adeeko,2
Afolabi Abeeb,2
Wangari Kimotho,2
Onyekachi Raphael Ogbu,2
Samuel Fanijo,2
Oyinkansola F. Awosan,2
Tadesse Kebede Guge,2
Sakayo Toadoum Sari,2
Pamela Nyatsine,2
Freedmore Sidume,2
Mardiyyah Oduwole,2
Ussen Kimanuka,2
Kanda Patrick Tshinu,2
Thina Diko,2
Siyanda Nxakama,2
Abdulmejid Tuni Johar,2
Sinodos Gebre,2
Muhidin A. Mohamed,2
Shafie Abdi Mohamed,2
Fuad Mire Hassan,2
Evrard Ngabire,2
O. Kolesnikova,2
J. Devlin,2
Ming-Wei Chang,2
Kenton Lee,2
Kang Liu,2
Jun Zhao,2
Yinhan Liu,2
Mandar Joshi,2
Danqi Chen,2
Omer Levy,2
Mike Lewis,2
Marta Bañón,2
Jaume Zaragoza-Bernabeu,2
Mikko Aulamo,2
Sampo Pyysalo,2
Jörg Tiedemann,2
Laurie Burchell,2
Imene Bensalem,2
Paolo Rosso,2
Hanane Zitouni,2
Fei Mi,2
Xin Jiang,2
Qun Liu,2
Isabel Papadimitriou,2
Asier Gutiérrez-Fandiño,2
Jordi Armengol-Estapé,2
D. Griol,2
Z. Callejas,2
Oscar Sainz,2
Iker García-Ferrero,2
Md Mushfiqur Rahman,2
Fardin Ahsan Sakib,2
Franccois Yvon,2
Gabriel Nicholas,2
Aliya Bhatia,2
Dea Adhista,2
Emmanuel Dave,2
Sarah Oktavianti,2
Salsabil Maulana Akbar,2
Jhonson Lee,2
Nuur Shadieq,2
T. W. Cenggoro,2
Hanung Wahyuning Linuwih,2
Galih Pradipta Muridan,2
Thien Huu Nguyen,2
Davis Liang,2
Madian Khabsa,2
Stefan Larson,2
Gordon Lim,2
Kevin Leach,2
Shravan Nayak,2
Sarubi Thillainathan,2
Daniel Hesslow,2
Alessandro Cappelli,2
B. Pannier,2
Emily Reif,2
Katherine Lee,2
Denny Zhou,2
Kevin Robinson,2
Daphne Ippolito,2
Z. Chen,2
Yanping Huang,2
Yi Tay,2
Jan A. Botha,2
Colin Cherry,2
Shachi Dave,2
M. Krikun,2
Sneha Kudugunta,2
Parker Riley,2
Pidong Wang,2
Yonghui Wu,2
Hyung Won Chung,2
Sharan Narang,2
Quentin G. Anthony,2
Eric Hallahan,2
Shivanshu Purohit,2
USVSN Sai Prashanth,2
Abubakar Abid,2
Josh Meyer,2
Pete Allen,2
Merve Noyan,2
Ruochen Zhang,2
I. Yu,2
Suzana Ilic,2
Aleksandra Piktus,2
Xinyu Crystina Zhang,2
Katerina Margatina,2
Zheng-Xin Yong,2
M Saiful Bari,2
Vassilina Nikoulina,2
Harshita Diddee,2
Sebastin Santy,2
Trina Chatterjee,2
Junjie Hu,2
Suzana Ili'c,2
J. Tow,2
Alexander M. Rush,2
Rachel Bawden,2
Stas Bekman,2
Victor Sanh,2
Canwen Xu,2
Hady ElSahar,2
Kimbo Chen,2
Nurulaqilla Khamis,2
Peter Henderson,2
Priscilla Amuok,2
Shanya Sharma,2
V. Danchev,2
Gunjan Chhablani,2
Leo Gao,2
Jaesung Tae,2
Jason Phang,2
N. Patry,2
Suraj Patil,2
Arjun Subramonian,2
D. Tunuguntla,2
Miruna Clinciu,2
Tatiana Shavrina,2
V. Mikhailov,2
Ruisi Su,2
Shubhanshu Mishra,2
Sahan Jayasinghe,2
Lakith Rambukkanage,2
Ashan Silva,2
A. Perera,2
Daniel Whitenack,2
Francois Meyer,2
Jan Buys,2
Everlyn Asiko,2
Ankur Bapna,2
Rifki Afina Putri,2
Linting Xue,2
André F. T. Martins,2
Roy Schwartz,2
Jordi Armengol-Estap'e,2
Derek Chong,2
Jenny Hong,2
Christopher D. Manning,2
Aditya Barua,2
Albert Gatt,2
Lonneke van der Plas,2
Claudia Borg,2
D. Esch,2
Aditya Siddhant,2
Vera Axelrod,2
Freshia Sackey,2
Guyo Dub Jarso,2
Eric Peter Wairagala,2
Muhammad Umair Nasir,2
Yvonne Wambui Gitau,2
Jade Z. Abbott,2
Mohamed Ahmed,2
Sam Manthalu,2
Bertie Vidgen,2
Elisa Bassignana,2
Max Müller-Eberstein,2
Daniel Varab,2
Mike Zhang,2
Christian Hardmeier,2
Kemal Kurniawan,2
Radityo Eko Prasojo,2
Jey Han Lau,2
Antoine Nzeyimana,2
Eleftheria Briakou,2
Jonne Saleva,2
Maite Melero,2
Julien Abadji,2
Laurent Romary,2
Laura Weidinger,2
John F. J. Mellor,2
M. Rauh,2
C. Griffin,2
J. Uesato,2
Po-Sen Huang,2
Myra Cheng,2
B. Balle,2
A. Kasirzadeh,2
Zachary Kenton,2
S. Brown,2
W. Hawkins,2
T. Stepleton,2
C. Biles,2
Julia Haas,2
Laura Rimell,2
Lisa Anne Hendricks,2
William S. Isaac,2
Sean Legassick,2
G. Irving,2
Iason Gabriel,2
Djamé Seddah,2
Kalpesh Krishna,2
Deepak Nathani,2
Lysandre Debut,2
Gabriel Ilharco,2
Dirk Groeneveld,2
Matt Gardner,2
Gowtham Ramesh,2
Sumanth Doddapaneni,2
Anoop Kunchukuttan,2
Pratyush Kumar,2
Christopher Manning,2
Christo Kirov,2
Rahul Aralikatte,2
Maarten Sap,2
Yuxin Zhu,2
Alan Ritter,2
Mihir Kale,2
Divyansh Kaushik,2
Zachary Chase Lipton,2
A. London,2
Mitiku Yohannes Fuge,2
A. Wassie,2
Eyasu Shiferaw Jada,2
Yonas Chanie,2
Walelign Tewabe Sewunetie,2
Joseph Marvin Imperial,2
Arij Riabi,2
Goran Glavavs,2
Sotaro Takeshita,2
Tommaso Green,2
Niklas Friedrich,2
K. Eckert,2
Simone Paolo Ponzetto,2
Han Zhou,2
Amelia Taylor,2
Tebogo Macucwa,2
I. Onyenwe,2
Emile Niyomutabazi,2
Tiezheng Yu,2
E. Razumovskaia,2
Shruti Rijhwani,2
Xinyi Wang,2
Dan Garrette,2
J. Peng,2
Moussa Diallo,2
Oumaima Hourrane,2
Falalu Ibrahim,2
Samuel Rutunda,2
Wendimu Baye Messelle,2
Hailu Beshada Balcha,2
S. Chala,2
Hagos Tesfahun Gebremichael,2
Muhammad Farid Adilazuarda,2
B. Wanjawa,2
Lilian D. A. Wanzare,2
F. Indede,2
Owen McOnyango,2
Edward Ombui,2
Lawrence Muchemi,2
M. Traore,2
Paul Rayson,2
Mahmoud El-Haj,2
Vera Demberg,2
Omar Einea,1
Ashraf Elnagar,1
Ridhwan Al,1
Siwei Lai,1
Liheng Xu,1
Graeme Nail,1
Nikolay Arefyev,1
J. V. D. Linde,1
Shaoxiong Ji,1
Gema Ram'irez-S'anchez,1
Andrey Kutuzov,1
Stephan Oepen,1
Jonathan Dunn,1
Lane Edwards-Brown,1
Tanja Samardzic,1
Ximena Gutierrez,1
Christian Bentz,1
Steven Moran,1
Olga Pelloni,1
